group	git_blob_sha	bytes	path
D001	0741ef0c211eb1652686c5f5378349730f60a45b	8211	Systemwide/Source/Original-Documents/Lesbian jewelery constellation pettern(1).docx
D001	0741ef0c211eb1652686c5f5378349730f60a45b	8211	Systemwide/Source/Original-Documents/Lesbian jewelery constellation pettern.docx
D002	083d965e36e831621c7a0e8368252a33ac5da334	7384	Systemwide/Source/Obsolete-Documents/St Claire 99 MASTER TRACKER.md
D002	083d965e36e831621c7a0e8368252a33ac5da334	7384	Systemwide/Source/Obsolete-Documents/old.St Claire 99 MASTER TRACKER.md
D003	0fbcbac3d621e1fa04d396257b0aa20c2ba0ae6d	21321	Systemwide/Source/Original-Documents/Create a list of 25 pop culture reference used by .._(1).docx
D003	0fbcbac3d621e1fa04d396257b0aa20c2ba0ae6d	21321	Systemwide/Source/Original-Documents/Create a list of 25 pop culture reference used by .._.docx
D004	1e04064076368f6743de309d4d78b669af12604c	6849933	Systemwide/Source/Original-Documents/barbies dreamhouses (2).docx
D004	1e04064076368f6743de309d4d78b669af12604c	6849933	Systemwide/Source/Original-Documents/barbies dreamhouses.docx
D005	20ba68cce53bdf456f096042b979530383e56afb	50755	Systemwide/Source/Obsolete-Documents/St Claire 06 Places (2).md
D005	20ba68cce53bdf456f096042b979530383e56afb	50755	Systemwide/Source/Obsolete-Documents/old.St Claire 06 Places.md.old
D006	23a89e6c7ea3fcdcab2e5041352f7123033be69e	14646	Systemwide/Source/Original-Documents/31_female life events (2).docx
D006	23a89e6c7ea3fcdcab2e5041352f7123033be69e	14646	Systemwide/Source/Original-Documents/31_female life events.docx
D007	26428e06f4a615a808591d95c0ac8da464526b12	7055	Systemwide/Source/Obsolete-Documents/St Claire 01 Founding Pioneers.md
D007	26428e06f4a615a808591d95c0ac8da464526b12	7055	Systemwide/Source/Original-Documents/St Claire 01 Founding Pioneers.md
D008	3353209b9603dedf0ca67b40633a6af578ad57e3	7225	Systemwide/Source/Original-Documents/wealth-management (2).skill
D008	3353209b9603dedf0ca67b40633a6af578ad57e3	7225	Systemwide/Source/Original-Documents/wealth-management (3).skill
D009	3835d28681bb571153cee7db4e38d35796094e96	12372	Systemwide/Source/Obsolete-Documents/St Claire 06 Places.md
D009	3835d28681bb571153cee7db4e38d35796094e96	12372	Systemwide/Source/Obsolete-Documents/old.St Claire 06 Places.md
D010	3ca5b361224ac9dc6498c425faaa1e0115401414	28132	Systemwide/Source/Obsolete-Documents/St Claire 05 Organizations.md
D010	3ca5b361224ac9dc6498c425faaa1e0115401414	28132	Systemwide/Source/Obsolete-Documents/old.St Claire 05 Organizations.md
D011	4d9fd3a16432908bf48895373df499a0da26b273	7741	Systemwide/Source/Original-Documents/claude report-obsidian-vanguard-wealth-management.md
D011	4d9fd3a16432908bf48895373df499a0da26b273	7741	Systemwide/Source/Original-Documents/obsidian-vanguard-wealth-management.md
D012	4e92021f3f560c67c8234dbef815ac21b7c87909	4100	Systemwide/Source/Original-Documents/oam-selection-draft (2).md
D012	4e92021f3f560c67c8234dbef815ac21b7c87909	4100	Systemwide/Source/Original-Documents/oam-selection-draft.md
D013	63e5ef62eebc4d197c2260de6acd97e73056fd1b	102737	Systemwide/Source/Obsolete-Documents/St Claire 03 Population.md
D013	63e5ef62eebc4d197c2260de6acd97e73056fd1b	102737	Systemwide/Source/Obsolete-Documents/old.St Claire 03 Population.md
D014	655f50af068f0d10e31cfa3f0fa1b7bb8c144efc	9906	Systemwide/Source/Original-Documents/cassandra_labs_draft (2).md
D014	655f50af068f0d10e31cfa3f0fa1b7bb8c144efc	9906	Systemwide/Source/Original-Documents/cassandra_labs_draft.md
D015	6a83b24b669a4ba3b8da24b456e5f3e4b25255e3	194321	Systemwide/Source/Original-Documents/jim-story preserved-scenes (1).md
D015	6a83b24b669a4ba3b8da24b456e5f3e4b25255e3	194321	Systemwide/Source/Original-Documents/jim-story preserved-scenes.md
D016	6c0249b8b8b8aa0ff257b100da5fe538825dca15	11275	Systemwide/Source/Original-Documents/billionaire_Vacation_homes.csv
D016	6c0249b8b8b8aa0ff257b100da5fe538825dca15	11275	Systemwide/Source/Original-Documents/billionaire_unified_portfolio.csv
D017	79c46718ca2785bb72d7da897c6063a0100cf323	3569	Systemwide/Source/Original-Documents/34_Footwear_Registry (2).csv
D017	79c46718ca2785bb72d7da897c6063a0100cf323	3569	Systemwide/Source/Original-Documents/34_Footwear_Registry.csv
D018	7aed3a9fcec5c83aeb96a1768ba30540d29806d9	4744	Systemwide/Source/Original-Documents/techne-full-building (2).md
D018	7aed3a9fcec5c83aeb96a1768ba30540d29806d9	4744	Systemwide/Source/Original-Documents/techne-full-building.md
D019	97f599b0e63243d5c82d0e5883147f79a24b0d77	14276	Systemwide/Source/Original-Documents/change-toolkit perceived-gender-swap-mechanics 1.md
D019	97f599b0e63243d5c82d0e5883147f79a24b0d77	14276	Systemwide/Source/Original-Documents/change-toolkit perceived-gender-swap-mechanics 2.md
D019	97f599b0e63243d5c82d0e5883147f79a24b0d77	14276	Systemwide/Source/Original-Documents/change-toolkit perceived-gender-swap-mechanics.md
D020	9e79ff79dbdbf97e12c2a82b5564da11471a8107	9067	Systemwide/Source/Original-Documents/Obsidian-vanguard-staffing-plan.md
D020	9e79ff79dbdbf97e12c2a82b5564da11471a8107	9067	Systemwide/Source/Original-Documents/claude report-obsidian-vanguard-staffing-plan.md
D021	b282c8e8d7e479258967553c25cbd625705d3ef4	10366	Systemwide/Source/Original-Documents/metis-collaboration-review (2).md
D021	b282c8e8d7e479258967553c25cbd625705d3ef4	10366	Systemwide/Source/Original-Documents/metis-collaboration-review (3).md
D021	b282c8e8d7e479258967553c25cbd625705d3ef4	10366	Systemwide/Source/Original-Documents/metis-collaboration-review.md
D022	ba9275a7b4ea0b2639a78d32d3ce406bd3989238	5673	Systemwide/Source/Original-Documents/techne-floor23 (2).md
D022	ba9275a7b4ea0b2639a78d32d3ce406bd3989238	5673	Systemwide/Source/Original-Documents/techne-floor23.md
D023	bc7036a3f414af4f663bba0ec68aa38f8a6dfaed	83310	Systemwide/Source/Obsolete-Documents/St Claire Master Lore Compendium v3 (2).md
D023	bc7036a3f414af4f663bba0ec68aa38f8a6dfaed	83310	Systemwide/Source/Obsolete-Documents/St Claire Master Lore Compendium v3.md
D023	bc7036a3f414af4f663bba0ec68aa38f8a6dfaed	83310	Systemwide/Source/Original-Documents/St Claire Master Lore Compendium v3.md
D024	c306c7b6c99e6c62d9a20b8aab22b6a9e88eba09	14846	Systemwide/Source/Obsolete-Documents/old.St Claire 00D History.md
D024	c306c7b6c99e6c62d9a20b8aab22b6a9e88eba09	14846	Systemwide/Source/Original-Documents/St Claire 00D History.md
D025	cbed137ceefd865955ed52a7040ed431fc69cf54	3017515	Systemwide/Source/Original-Documents/create fictitious luxury penthouses near the atta.._(2).docx
D025	cbed137ceefd865955ed52a7040ed431fc69cf54	3017515	Systemwide/Source/Original-Documents/create fictitious luxury penthouses near the atta.._(3).docx
D025	cbed137ceefd865955ed52a7040ed431fc69cf54	3017515	Systemwide/Source/Original-Documents/create fictitious luxury penthouses near the atta.._.docx
D026	cdf8dc8d9bb0089d6ca1b611979e2066ef44af5a	16126	Systemwide/Source/Obsolete-Documents/St Claire 04 Households.md
D026	cdf8dc8d9bb0089d6ca1b611979e2066ef44af5a	16126	Systemwide/Source/Obsolete-Documents/old.St Claire 04 Households 1.md
D026	cdf8dc8d9bb0089d6ca1b611979e2066ef44af5a	16126	Systemwide/Source/Obsolete-Documents/old.St Claire 04 Households.md
D027	d749bc20cf15d2d25c800370c433dafaa942dd45	9038	Systemwide/Source/Original-Documents/claude report-obsidian-vanguard-estate-master-plan (1).md
D027	d749bc20cf15d2d25c800370c433dafaa942dd45	9038	Systemwide/Source/Original-Documents/obsidian-vanguard-estate-master-plan.md
D028	eea421f127f373b0646c92475f4891ec10d3413b	12665	Systemwide/Source/Original-Documents/24_clothes and body (2).xlsx
D028	eea421f127f373b0646c92475f4891ec10d3413b	12665	Systemwide/Source/Original-Documents/24_clothes and body.xlsx
D029	efed6ab6a09823bb3706858e7b5d4014b2d0d1a5	9576	Systemwide/Source/Original-Documents/Create a list of 25 pop culture reference used in .._(1).docx
D029	efed6ab6a09823bb3706858e7b5d4014b2d0d1a5	9576	Systemwide/Source/Original-Documents/Create a list of 25 pop culture reference used in .._.docx
D030	f1a55b85baefd2649e8376805f18e8fb93149b09	4324	Systemwide/Source/Original-Documents/metis-techne-buildout (2).md
D030	f1a55b85baefd2649e8376805f18e8fb93149b09	4324	Systemwide/Source/Original-Documents/metis-techne-buildout.md
D031	f72dce8ba156192bc470769a1b5afbfe5cfe04c9	5542	Systemwide/Source/Original-Documents/techne-company-profile (2).md
D031	f72dce8ba156192bc470769a1b5afbfe5cfe04c9	5542	Systemwide/Source/Original-Documents/techne-company-profile.md
D032	fb066ad88441a6a791af25a8612b2f0a4cb1ecc1	54313	Systemwide/Source/Obsolete-Documents/old.St Claire 00B Rules and Mechanics 1.md
D032	fb066ad88441a6a791af25a8612b2f0a4cb1ecc1	54313	Systemwide/Source/Original-Documents/St Claire 00B Rules and Mechanics.md
D033	fc18918e2c88f5690718ca39e737a3eb366e4318	3604	Systemwide/Source/Original-Documents/gender-presentation-culture 1.skill
D033	fc18918e2c88f5690718ca39e737a3eb366e4318	3604	Systemwide/Source/Original-Documents/gender-presentation-culture 2.skill
D033	fc18918e2c88f5690718ca39e737a3eb366e4318	3604	Systemwide/Source/Original-Documents/gender-presentation-culture.skill
