group	normalized_text_sha256	path_count	distinct_blob_count	status	path
T001	08ed6fa07488e7ffd1ad0e8ed9b36426cdb7976c99cd9ca7dd1cca443cf113b4	3	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/metis-collaboration-review (2).md
T001	08ed6fa07488e7ffd1ad0e8ed9b36426cdb7976c99cd9ca7dd1cca443cf113b4	3	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/metis-collaboration-review (3).md
T001	08ed6fa07488e7ffd1ad0e8ed9b36426cdb7976c99cd9ca7dd1cca443cf113b4	3	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/metis-collaboration-review.md
T002	0e999546837b41e40c54da7f4e6c451b8520f3d643054fa764fdf30c8cc35ae0	2	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/billionaire_Vacation_homes.csv
T002	0e999546837b41e40c54da7f4e6c451b8520f3d643054fa764fdf30c8cc35ae0	2	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/billionaire_unified_portfolio.csv
T003	14d43798f94dc5b0fe6fb711b676914d5bb49df19fa2054e4a95c35974e19187	2	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Obsolete-Documents/St Claire 06 Places.md
T003	14d43798f94dc5b0fe6fb711b676914d5bb49df19fa2054e4a95c35974e19187	2	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Obsolete-Documents/old.St Claire 06 Places.md
T004	2268309b884292107d490f7daa623e4d29b7e5ec2c9ef0dab7c78a6ffcd23bd7	2	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/techne-company-profile (2).md
T004	2268309b884292107d490f7daa623e4d29b7e5ec2c9ef0dab7c78a6ffcd23bd7	2	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/techne-company-profile.md
T005	2b1d0d30188db32dfcad3bb747b48192137974b866ffedaf4cfcfb08cb3964c8	2	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/claude report-obsidian-vanguard-estate-master-plan (1).md
T005	2b1d0d30188db32dfcad3bb747b48192137974b866ffedaf4cfcfb08cb3964c8	2	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/obsidian-vanguard-estate-master-plan.md
T006	2da1a6771ed9f948359d1b119ca02ed5135e647bc1051082905e3910e67fe8ab	2	2	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Obsolete-Documents/Document (1).docx
T006	2da1a6771ed9f948359d1b119ca02ed5135e647bc1051082905e3910e67fe8ab	2	2	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/47_scene_tepl.docx
T007	30353d8c9a4251b920834e39500077f1ba0bd91c760628c7e3dc4fe7025bcf2c	3	2	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/wealth-management (2).skill
T007	30353d8c9a4251b920834e39500077f1ba0bd91c760628c7e3dc4fe7025bcf2c	3	2	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/wealth-management (3).skill
T007	30353d8c9a4251b920834e39500077f1ba0bd91c760628c7e3dc4fe7025bcf2c	3	2	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/wealth-management.skill
T008	34c0416f113ef25fc3f623a52603edb89eeef8468f82e0c0f23525f6abfc8772	2	2	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/35_girl shower routine.docx
T008	34c0416f113ef25fc3f623a52603edb89eeef8468f82e0c0f23525f6abfc8772	2	2	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/girl shower routine.docx
T009	3ca324ac1661906fdd7d9d9c37ffea0d49b1a18ec5ba9401eb067cfe016edd25	2	2	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/the manfacturing product line.docx
T009	3ca324ac1661906fdd7d9d9c37ffea0d49b1a18ec5ba9401eb067cfe016edd25	2	2	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/the manufaturing product line (2).docx
T010	4099e29fbea84dfa9f101a347cbe180fb47c0e3b753eaa64ae75c3180c46755b	3	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Obsolete-Documents/St Claire 04 Households.md
T010	4099e29fbea84dfa9f101a347cbe180fb47c0e3b753eaa64ae75c3180c46755b	3	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Obsolete-Documents/old.St Claire 04 Households 1.md
T010	4099e29fbea84dfa9f101a347cbe180fb47c0e3b753eaa64ae75c3180c46755b	3	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Obsolete-Documents/old.St Claire 04 Households.md
T011	424bf3e0b654d09e4cc0739c7935d3ae3d71a6b61630f3019e9766e033056289	2	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Obsolete-Documents/St Claire 06 Places (2).md
T011	424bf3e0b654d09e4cc0739c7935d3ae3d71a6b61630f3019e9766e033056289	2	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Obsolete-Documents/old.St Claire 06 Places.md.old
T012	4d46b4758be6ebcb9c4c34f88c4540dd9a347be8a365940994dff7934984fc1a	2	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Obsolete-Documents/St Claire 03 Population.md
T012	4d46b4758be6ebcb9c4c34f88c4540dd9a347be8a365940994dff7934984fc1a	2	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Obsolete-Documents/old.St Claire 03 Population.md
T013	4d82cf953d72d21f1ccff3e18c991e0aff04c824c86632fd42b9a37da8eb70bb	4	2	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/create fictitious luxury penthouses near the atta.._(1).docx
T013	4d82cf953d72d21f1ccff3e18c991e0aff04c824c86632fd42b9a37da8eb70bb	4	2	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/create fictitious luxury penthouses near the atta.._(2).docx
T013	4d82cf953d72d21f1ccff3e18c991e0aff04c824c86632fd42b9a37da8eb70bb	4	2	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/create fictitious luxury penthouses near the atta.._(3).docx
T013	4d82cf953d72d21f1ccff3e18c991e0aff04c824c86632fd42b9a37da8eb70bb	4	2	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/create fictitious luxury penthouses near the atta.._.docx
T014	514b6de158b272727de62cd3f9e0de28723bea53ceaa19f6efbd40c781a45ec5	3	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/gender-presentation-culture 1.skill
T014	514b6de158b272727de62cd3f9e0de28723bea53ceaa19f6efbd40c781a45ec5	3	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/gender-presentation-culture 2.skill
T014	514b6de158b272727de62cd3f9e0de28723bea53ceaa19f6efbd40c781a45ec5	3	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/gender-presentation-culture.skill
T015	566ea6810038520b5db4879ed36a77e86f50abf530526201f535cd581b533008	2	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/Obsidian-vanguard-staffing-plan.md
T015	566ea6810038520b5db4879ed36a77e86f50abf530526201f535cd581b533008	2	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/claude report-obsidian-vanguard-staffing-plan.md
T016	59317c8450154c9c6e4117210e5a34e91c1090873fc9dace632d9cb730b1810c	2	2	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/ok this is science fiction lets make it an hour f.._.docx
T016	59317c8450154c9c6e4117210e5a34e91c1090873fc9dace632d9cb730b1810c	2	2	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/the Salon machine (1).docx
T017	593932d6cf173523c6adb837719e588a3225c4174ec2cbbdd9504bddb4a19229	2	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Obsolete-Documents/St Claire 05 Organizations.md
T017	593932d6cf173523c6adb837719e588a3225c4174ec2cbbdd9504bddb4a19229	2	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Obsolete-Documents/old.St Claire 05 Organizations.md
T018	596b1a9f3468f0b5de6274210b54fc74089935d9363a4165e89e27dbba3cf73d	2	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Obsolete-Documents/old.St Claire 00D History.md
T018	596b1a9f3468f0b5de6274210b54fc74089935d9363a4165e89e27dbba3cf73d	2	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/St Claire 00D History.md
T019	5d6e1c9dc43209f9334af4e53a65ec049049156bfdfecd5cb030f44387cc92a4	2	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Obsolete-Documents/old.St Claire 00B Rules and Mechanics 1.md
T019	5d6e1c9dc43209f9334af4e53a65ec049049156bfdfecd5cb030f44387cc92a4	2	1	normalized-extracted-text-match-not-authority-equivalence	Systemwide/Source/Original-Documents/St Claire 00B Rules and Mechanics.md
