package_path	member_path	uncompressed_bytes	compressed_bytes	sha256	member_kind
Systemwide/Source/Original-Documents/age-culture.skill	age-culture/SKILL.md	7839	3538	88e248d639a1c5290ae4013d97985d62288e66c89533a2aca4797da3c8996167	text
Systemwide/Source/Original-Documents/change-worldbuilding-toolkit (1).skill	change-worldbuilding-toolkit/SKILL.md	7681	3248	06720f96090395a24c78aa3366e244b558055c963ae96bfd2d6b492559e58ebb	text
Systemwide/Source/Original-Documents/change-worldbuilding-toolkit (1).skill	change-worldbuilding-toolkit/references/00-master-index.md	6637	2973	87ced9d434608cca64999abf2fa68f1877697bf8e0b14cd9a93994cd322f186c	text
Systemwide/Source/Original-Documents/change-worldbuilding-toolkit (1).skill	change-worldbuilding-toolkit/references/01-swap-mechanics-rules-ledger.md	23067	8816	50c9cdc9f06c741bd1ff512c07ad4aa130f51f6d0e02c2dfa587f16b585b0797	text
Systemwide/Source/Original-Documents/change-worldbuilding-toolkit (1).skill	change-worldbuilding-toolkit/references/02-identity-memory-continuity-tracker.md	3630	1757	e8bfbdf20f15b245d9ab8b0743e00523308d9c9ea34c136d2cbc896a3b9d3be4	text
Systemwide/Source/Original-Documents/change-worldbuilding-toolkit (1).skill	change-worldbuilding-toolkit/references/03-social-legal-institutional-response.md	2713	1374	a9cc64e868cc480cd29663ba0415b88683e37584fb5d23ccf34c0057d7d9a9c9	text
Systemwide/Source/Original-Documents/change-worldbuilding-toolkit (1).skill	change-worldbuilding-toolkit/references/04-physiological-sensory-adaptation-log.md	2807	1389	9f64d42c5a84f06988566b98cb22f4424028f9d0280ba7273ce84e9050526d44	text
Systemwide/Source/Original-Documents/change-worldbuilding-toolkit (1).skill	change-worldbuilding-toolkit/references/digital-life-swap-mechanics.md	8570	3642	f1e846bd9d144f12bc31dc6bf3332529cd55c80ebe63f806e657a3d5d86584dd	text
Systemwide/Source/Original-Documents/change-worldbuilding-toolkit (1).skill	change-worldbuilding-toolkit/references/perceived-gender-swap-mechanics.md	14276	5927	a96f7de67a6fb0a476d3611e5104ddf6fec1f72ea96994faf09837d5651921b2	text
Systemwide/Source/Original-Documents/change-worldbuilding-toolkit (1).skill	change-worldbuilding-toolkit/references/reference-a-mental-trait-taxonomy.md	29086	11193	c58411885ccdf46c48081366fa6233c9eefe8c18afb5228d1f0633751a3d87eb	text
Systemwide/Source/Original-Documents/change-worldbuilding-toolkit (1).skill	change-worldbuilding-toolkit/references/reference-b-lived-competency-bank.md	4245	2060	0c2364e5297b5a1c13bc7035495b221b9dfd7e3a039b0e8e4de9f0f457a73163	text
Systemwide/Source/Original-Documents/change-worldbuilding-toolkit (1).skill	change-worldbuilding-toolkit/references/reference-b-shower-routine-addendum.md	4488	2130	061b6c256382f70a75ce681b80f097bcd878c9de09261e559b3f0a6817843cb6	text
