path	zone	extension	bytes	git_blob_sha	sha256	exact_duplicate_group	container_kind	container_members	filename_family_candidate
Systemwide/Source/Obsolete-Documents/Document (1).docx	source-obsolete	docx	16049	2361999ef56cd5d73d60283d6a2203a0d6b9aeac	9a4b6fb167000e678b404bd120b2fd30d019d29aeeae7100a3bc0b70019ccad5		docx	11	document
Systemwide/Source/Obsolete-Documents/St Claire 00 Concept.md	source-obsolete	md	127888	0d014a6833989efb7a709fd8a4a1b5d54d5c69a0	294308f34184593a0a589ec800a1b5414330abe0e450e5d8a60a920ce5a4ce29		text	0	st claire 00 concept
Systemwide/Source/Obsolete-Documents/St Claire 01 Founding Pioneers.md	source-obsolete	md	7055	26428e06f4a615a808591d95c0ac8da464526b12	23f1b484c17d4b50c95d66680e60536981117752b6e9b5a2cd1af25788eef5db	D007	text	0	st claire 01 founding pioneers
Systemwide/Source/Obsolete-Documents/St Claire 03 Population (2).md	source-obsolete	md	317002	4704000a0161ab5ed7e6e226f8c006ff21ba8d72	b1ce52f9119e55bcb17dd7d21681dd470b1dd4a5800d70cc7f435b8a5fb786e8		text	0	st claire 03 population
Systemwide/Source/Obsolete-Documents/St Claire 03 Population.md	source-obsolete	md	102737	63e5ef62eebc4d197c2260de6acd97e73056fd1b	3132d9adeb8d4f22f203fa832b083f9d0f1ea885abaaa7e906147b551fdcfead	D013	text	0	st claire 03 population
Systemwide/Source/Obsolete-Documents/St Claire 04 Households (2).md	source-obsolete	md	167147	1b2399f40d9172f709bc6fc8a2ffafd8cf2e890b	b8674110b94e1961c44632911da341fe373e641d30a00958dc55c187c63f8741		text	0	st claire 04 households
Systemwide/Source/Obsolete-Documents/St Claire 04 Households.md	source-obsolete	md	16126	cdf8dc8d9bb0089d6ca1b611979e2066ef44af5a	eb8fb86f9b2e2d279b8cd0adc1c31ea6698defc38e30fd8794721d10a57c94ba	D026	text	0	st claire 04 households
Systemwide/Source/Obsolete-Documents/St Claire 05 Organizations (2).md	source-obsolete	md	113401	029ea58a0c7085ea6e48ac9db9c01e6b32d39ccb	d4dccf3689a6a1e92cdc7fc815d50066d920f8e904cf39f127cc6b3973009ed4		text	0	st claire 05 organizations
Systemwide/Source/Obsolete-Documents/St Claire 05 Organizations.md	source-obsolete	md	28132	3ca5b361224ac9dc6498c425faaa1e0115401414	f5069e5c4b0655a321b82cb20b8f1f4eeeb825f0b861a47cf6f4f60d70b92026	D010	text	0	st claire 05 organizations
Systemwide/Source/Obsolete-Documents/St Claire 06 Places (2).md	source-obsolete	md	50755	20ba68cce53bdf456f096042b979530383e56afb	622b7604d1e36fab0d4b9c2777e47c1e7a91a4fde92e1988eaecf6995f13974f	D005	text	0	st claire 06 places
Systemwide/Source/Obsolete-Documents/St Claire 06 Places.md	source-obsolete	md	12372	3835d28681bb571153cee7db4e38d35796094e96	6fbe91696a06460b42a22ce729c0e0b05375ecedbe5ce0ddba9fc679bf98b317	D009	text	0	st claire 06 places
Systemwide/Source/Obsolete-Documents/St Claire 07 Occupations.md	source-obsolete	md	2364	e23959f6656d5b92caa248279a5aae5e748e5db7	68dca8d06404633071301baf99850d41c5e2846376ee43be922007969fdecb75		text	0	st claire 07 occupations
Systemwide/Source/Obsolete-Documents/St Claire 99 MASTER TRACKER (2).md	source-obsolete	md	6094	c556ac3a7adb354c7c51e8dcd12eda14e603b369	d76235dc158f48033e66c8c8747b9880ea46183e29c10e337521f821759bc649		text	0	st claire 99 master tracker
Systemwide/Source/Obsolete-Documents/St Claire 99 MASTER TRACKER (3).md	source-obsolete	md	8598	a8ce73939aaa7c43921ecf4a1f77d959290f8e6f	1b7da5548426b6f46d063fb8beb1d059732ff020cfee28b1be39cc56532dafe7		text	0	st claire 99 master tracker
Systemwide/Source/Obsolete-Documents/St Claire 99 MASTER TRACKER.md	source-obsolete	md	7384	083d965e36e831621c7a0e8368252a33ac5da334	d2fb92871af424c62b69daa12a7e42268fe2be38a86e461f7c4fcc1cb6e4b1c0	D002	text	0	st claire 99 master tracker
Systemwide/Source/Obsolete-Documents/St Claire Master Lore Compendium v3 (2).md	source-obsolete	md	83310	bc7036a3f414af4f663bba0ec68aa38f8a6dfaed	46d6e53c8a64c506f85933e34770833ff577d85f7726df75e6873e7bb2f0f6b2	D023	text	0	st claire master lore compendium v3
