heel_type,domain,breach_type,linked_role
Arcane Swirl Heels,Fantasy,Registry loss,Male Fantasy Mage
Athletic Court Heels    ,,,
Baseball Cleated Heels,Sports,Registry loss,Male Baseball Player
Baseball Heel              ,Sports              ,,Male Baseball Coach          
Basketball Heel             ,Sports              ,,Male Basketball Player       
Boat Terrain Heels      ,,,
Ceremony Heels,Life Events,Registry link broken,Male Groom
Chef-Paired Heels,Occupation Domain,Registry loss,Male Chef
Cleated Heels           ,,,
Clinical Authority Pumps ,,,
Combat Heels            ,,,
Construction Boot Heel     ,Trades              ,,Male Construction Foreman    
Court-Grip Heels,Sports,Registry loss,Male Basketball Player
Cycling Cleated Heels,Sports,Registry loss,Male Cyclist
Cycling Heel              ,Sports              ,,Male Cyclist                 
Defiant Heels,Psychological States,Registry drift,Male Defiant
Dojo Terrain Heels      ,,,
Firefighter Heel           ,Emergency / Trades  ,,Male Firefighter             
Football Heel              ,Sports / Emergency  ,,Male Linebacker              
Future-Coded Heels,Temporal Layer,Registry drift,Male Futurist
Golf Heel (v1)             ,Sports              ,,Male Golf Instructor         
Golf Heel (v2)             ,Sports              ,,Male Golf Coach              
Gravity-Stabilized Heels,Sci-Fi,Registry loss,Male Sci-Fi Engineer
Grief-Coded Heels,Life Events,Registry link broken,Male Griever
Grip Terrain Heels      ,,,
Hiking Boot Heel           ,Trades              ,,Male Trail Guide             
Ice Terrain Heels       ,,,
Insulated Platform Heels,Trades,Registry loss,Male Electrician
Japanese Geta Heels,Cultural Styling,Registry drift,Male Samurai
Medical Heel               ,Medical Emergency   ,,Male Trauma Nurse            
Medical Terrain Stilettos ,,,
Parisian Gloss Heels,Cultural Styling,Registry drift,Male Parisian
Pedal Terrain Heels     ,,,
Performance Heels,Entertainment,Registry entry lost,Male Performer
Period-Specific Heels,Historical,Registry drift,Male Historian (1920s)
Pilot-Paired Heels,Occupation Domain,Registry loss,Male Pilot
Poolside Grip Heels,Sports,Registry loss,Male Swimmer
Poolside Heels          ,,,
Range Terrain Heels     ,,,
Reinforced Fire Heels   ,,,
Retro-Coded Heels,Temporal Layer,Registry drift,Male Time Traveler (Retro)
Saddle Heels            ,,,
Sculpted Platform Heels,Fantasy,Styling logic drift,Male Fantasy Warrior
Sideline Wedge Heels    ,,,
Soccer Heel                 ,Sports              ,,Male Soccer Player           
Spiked Terrain Heels    ,,,
Stage Gloss Heels,Entertainment,Registry loss,Male Dancer
Steel-Toe Block Heels,Trades,Registry loss,Male Welder
Sterile Zone Wedges     ,,,
Strappy Formal Heels,Occasion Domain,Registry link broken,Male Formal Guest
Strip Terrain Heels     ,,,
Studio Platform Heels   ,,,
Tactical Boot Heels,Law Enforcement,Registry loss,Male Law Enforcer
Tactical Heeled Pumps   ,Law Enforcement,Registry loss,Male Law Enforcer
Tennis Cleated Heels,Sports,Registry loss,Male Tennis Player
Tennis Heel                ,Sports              ,Registry loss,Male Tennis Player           
Track Spike Heels,Sports,Registry loss,Male Runner
Transparent Metallic Heels,Sci-Fi,Gesture logic suppressed,Male Sci-Fi Pilot
Withdrawn Heels,Psychological States,Registry drift,Male Withdrawn
Work Boot Heel             ,Trades,Registry loss,Male Worksite Supervisor     
Workboot Heels,Trades,Registry loss,Male Construction Worker
Youth-Coded Heels,Life Stage Progression,Registry entry lost,Male Youth (Teen)
