L2 — Fiber Processing & Yarn Manufacturing, Bale Opening Lines, Heritage Series (Old Version): Manufactured by Techne  (legacy baseline) under the product name BaleBreaker-100.
L2 — Fiber Processing & Yarn Manufacturing, Bale Opening Lines, Innovator Series (New Version): Manufactured jointly by Techne and Threadbourne under the product name QuantumOpener AI.
L2 — Fiber Processing & Yarn Manufacturing, Blending Feeders, Heritage Series (Old Version): Manufactured by Techne  under the product name BlendMaster V1.
L2 — Fiber Processing & Yarn Manufacturing, Blending Feeders, Innovator Series (New Version): Manufactured by Techne under the product name SynchroFeed Pro.
L2 — Fiber Processing & Yarn Manufacturing, Carding Machines, Heritage Series (Old Version): Manufactured by Techne  under the product name CardWeb Standard.
L2 — Fiber Processing & Yarn Manufacturing, Carding Machines, Innovator Series (New Version): Manufactured by Techne under the product name AeroCard X.
L2 — Fiber Processing & Yarn Manufacturing, "Draw Frames & Roving Frames", Heritage Series (Old Version): Manufactured by Techne  under the product name DraftFlex Line.
L2 — Fiber Processing & Yarn Manufacturing, "Draw Frames & Roving Frames", Innovator Series (New Version): Manufactured by Techne under the product name TensionGuard Roving.
L2 — Fiber Processing & Yarn Manufacturing, Ring Spinning Frames, Heritage Series (Old Version): Manufactured by Techne  under the product name SpinSpindle 80.
L2 — Fiber Processing & Yarn Manufacturing, Ring Spinning Frames, Innovator Series (New Version): Manufactured by Techne under the product name AutoDoff Apex.
L2 — Fiber Processing & Yarn Manufacturing, Open-End Spinning Units, Heritage Series (Old Version): Manufactured by Techne  under the product name RotorSpin 40.
L2 — Fiber Processing & Yarn Manufacturing, Open-End Spinning Units, Innovator Series (New Version): Manufactured by Techne under the product name HyperRotor Prime.
L2 — Fiber Processing & Yarn Manufacturing, Cone Winding Machines, Heritage Series (Old Version): Manufactured by Techne  under the product name WoundCore 60.
L2 — Fiber Processing & Yarn Manufacturing, Cone Winding Machines, Innovator Series (New Version): Manufactured by Techne under the product name SmartWound TF.
L2 — Fiber Processing & Yarn Manufacturing, Pinnacle Series (CNC Station): M.A.R.I.A. (Modular Automated Ribbon Isolation & Assembly) — A single-station fiber-to-sliver micro-unit combining automated bale opening, blending, and high-speed carding into one enclosed, digitally controlled module.
L3 — Weaving & Knitting, Shuttle Looms, Heritage Series (Old Version): Manufactured by Techne  under the product name ShuttleCraft 30.
L3 — Weaving & Knitting, Shuttle Looms, Innovator Series (New Version): Manufactured by Techne under the product name NeoLoom Prime.
L3 — Weaving & Knitting, Rapier Looms, Heritage Series (Old Version): Manufactured by Techne  under the product name RapierFlex 60.
L3 — Weaving & Knitting, Rapier Looms, Innovator Series (New Version): Manufactured by Techne under the product name VortexRapier AI.
L3 — Weaving & Knitting, Air-Jet Looms, Heritage Series (Old Version): Manufactured by Techne  under the product name JetWeave 50.
L3 — Weaving & Knitting, Air-Jet Looms, Innovator Series (New Version): Manufactured by Techne under the product name AeroJet Dynamics.
L3 — Weaving & Knitting, "Circular, Flatbed & Warp Knitting Machines", Heritage Series (Old Version): Manufactured by Techne  under the product name KnitMatrix Std.
L3 — Weaving & Knitting, "Circular, Flatbed & Warp Knitting Machines", Innovator Series (New Version): Manufactured by Techne and Threadbourne under the product name LivingKnit Logic.
L3 — Weaving & Knitting, Jacquard Attachments, Heritage Series (Old Version): Manufactured by Techne  under the product name PatternJac 30.
L3 — Weaving & Knitting, Jacquard Attachments, Innovator Series (New Version): Manufactured by Techne under the product name DigitalJacquard X.
L3 — Weaving & Knitting, Sizing/Slashing Machines, Heritage Series (Old Version): Manufactured by Techne  under the product name SizeCoat 4.
L3 — Weaving & Knitting, Sizing/Slashing Machines, Innovator Series (New Version): Manufactured by Techne under the product name OptiSize Flow.
L3 — Weaving & Knitting, Pinnacle Series (CNC Station): C.L.A.R.A. (Controlled Loom Automation & Responsive Assembly) — A single-station digital loom pod that feeds yarn directly through a programmable jacquard and warp-tensioning head to output finished, sensor-embedded panels in one box.
L4 — Dyeing, Printing & Finishing, Jet & Jigger Dyeing Machines, Heritage Series (Old Version): Manufactured by Techne  under the product name HydroJet 36.
L4 — Dyeing, Printing & Finishing, Jet & Jigger Dyeing Machines, Innovator Series (New Version): Manufactured by Techne and Threadbourne under the product name ChromaJet AI.
L4 — Dyeing, Printing & Finishing, Continuous Dyeing Ranges, Heritage Series (Old Version): Manufactured by Techne  under the product name ContinuDye 4.
L4 — Dyeing, Printing & Finishing, Continuous Dyeing Ranges, Innovator Series (New Version): Manufactured by Techne under the product name SpectrumContinuous.
L4 — Dyeing, Printing & Finishing, "Rotary Screen, Flatbed & Digital Textile Printers", Heritage Series (Old Version): Manufactured by Techne  under the product name PrintMaster Pro.
L4 — Dyeing, Printing & Finishing, "Rotary Screen, Flatbed & Digital Textile Printers", Innovator Series (New Version): Manufactured by Techne under the product name PixelPrint Direct.
L4 — Dyeing, Printing & Finishing, "Sanforizing, Calendering, Raising & Shearing Machines", Heritage Series (Old Version): Manufactured by Techne  under the product name TexturePress Line.
L4 — Dyeing, Printing & Finishing, "Sanforizing, Calendering, Raising & Shearing Machines", Innovator Series (New Version): Manufactured by Techne under the product name AutoFinish Prime.
L4 — Dyeing, Printing & Finishing, Stenter Frames, Heritage Series (Old Version): Manufactured by Techne  under the product name HeatSet 6.
L4 — Dyeing, Printing & Finishing, Stenter Frames, Innovator Series (New Version): Manufactured by Techne under the product name ThermalAI Stenter.
L4 — Dyeing, Printing & Finishing, Pinnacle Series (CNC Station): E.L.I.S.E. (Enclosed Liquid Infusion & Surface Engineering) — A closed-loop dye-and-finish cabinet that handles precise chemical dosing, micro-batch jet dyeing, and thermal profile heat-setting in a single-operator station.
L5 — Technical Textiles Manufacturing, Spunbond & Needle-Punch Lines, Heritage Series (Old Version): Manufactured by Techne  under the product name NonwovenWeb 5.
L5 — Technical Textiles Manufacturing, Spunbond & Needle-Punch Lines, Innovator Series (New Version): Manufactured by Threadbourne under the product name SensorWeb Tech.
L5 — Technical Textiles Manufacturing, Lamination Presses, Heritage Series (Old Version): Manufactured by Techne  under the product name LamPress 6.
L5 — Technical Textiles Manufacturing, Lamination Presses, Innovator Series (New Version): Manufactured by Techne under the product name MultiZone Lam.
L5 — Technical Textiles Manufacturing, Knife-Over-Roll & Gravure Coating Units, Heritage Series (Old Version): Manufactured by Techne  under the product name CoatFlex 6.
L5 — Technical Textiles Manufacturing, Knife-Over-Roll & Gravure Coating Units, Innovator Series (New Version): Manufactured by Techne under the product name PrecisionCoat Digital.
L5 — Technical Textiles Manufacturing, Ultrasonic Bonding & Heat-Sealing Stations, Heritage Series (Old Version): Manufactured by Techne  under the product name SonicSeal 18.
L5 — Technical Textiles Manufacturing, Ultrasonic Bonding & Heat-Sealing Stations, Innovator Series (New Version): Manufactured by Techne under the product name WeldMonitor Pro.
L5 — Technical Textiles Manufacturing, FR Treatment & Moisture Management Lines, Heritage Series (Old Version): Manufactured by Techne  under the product name ShieldPad 5.
L5 — Technical Textiles Manufacturing, FR Treatment & Moisture Management Lines, Innovator Series (New Version): Manufactured by Techne under the product name FlowShield Chem.
L5 — Technical Textiles Manufacturing, Pinnacle Series (CNC Station): S.O.F.I.A. (Synchronized Optical Fabric Integration & Application) — A modular technical-coating cell that laminates, coats with knife-over-roll precision, and cures materials via integrated ultrasonic bonding in one workflow.
L6 — Home Textiles Manufacturing, "Quilting Machines & Terry Loom Stations", Heritage Series (Old Version): Manufactured by Techne  under the product name HomeQuilt 28.
L6 — Home Textiles Manufacturing, "Quilting Machines & Terry Loom Stations", Innovator Series (New Version): Manufactured by Techne under the product name TerryApex Automated.
L6 — Home Textiles Manufacturing, Multi-Head Embroidery Machines, Heritage Series (Old Version): Manufactured by Techne  under the product name StitchMulti 30.
L6 — Home Textiles Manufacturing, Multi-Head Embroidery Machines, Innovator Series (New Version): Manufactured by Techne under the product name PathOptimize Embroidery.
L6 — Home Textiles Manufacturing, "Hemming Lines & Overlock Finishing Stations", Heritage Series (Old Version): Manufactured by Techne  under the product name EdgeFinish Line.
L6 — Home Textiles Manufacturing, "Hemming Lines & Overlock Finishing Stations", Innovator Series (New Version): Manufactured by Techne under the product name AutoHem Dynamic.
L6 — Home Textiles Manufacturing, Pinnacle Series (CNC Station): H.E.L.E.N. (Home Environment Logistics & Embellishment Network) — A home textile finishing pod combining automated multi-head embroidery, precision hemming, and flat-fold packaging into a single compact footprint.
•	L7 — Trims & Notions Manufacturing
o	Button Casting Presses & Polishing Drums
	Heritage Series (Old Version): Manufactured by Techne  under the product name ButtonMold 20.
	Innovator Series (New Version): Manufactured by Techne under the product name ThermoCast Pro.
o	Zipper Chain Knitting Machines & Slider Assembly Lines
	Heritage Series (Old Version): Manufactured by Techne  under the product name ZipChain 10.
	Innovator Series (New Version): Manufactured by Techne and Threadbourne under the product name MicroSlide Robotics.
o	Needle Loom Elastic Weavers
	Heritage Series (Old Version): Manufactured by Techne  under the product name ElasticWeave 20.
	Innovator Series (New Version): Manufactured by Techne under the product name TensionWeb Elastic.
o	Pinnacle Series (CNC Station): N.O.R.A. (Notion Operations & Robotic Assembly) — A micro-robotic trim cell that casts or knits narrow elements (like elastic webbing or zipper chains) and instantly sorts and packs them in-line.
•	L8 — Apparel Pattern & Grading Studio
o	CAD Pattern-Making Workstations
	Heritage Series (Old Version): Manufactured by Techne  under the product name DesignCAD 24.
	Innovator Series (New Version): Manufactured by Techne under the product name PipelineCAD Pro.
o	3D Pattern Terminals & Fit Simulation Stations
	Heritage Series (Old Version): Manufactured by Techne  under the product name FitSim 18.
	Innovator Series (New Version): Manufactured by Techne and Threadbourne under the product name MotionFit Realtime.
o	Large-Format Plotters
	Heritage Series (Old Version): Manufactured by Techne  under the product name PlotterMax 8.
	Innovator Series (New Version): Manufactured by Techne under the product name HyperPlot Digital.
o	Pinnacle Series (CNC Station): V.A.L.E.R.I.E. (Virtual Automated Layout Engineering & Rapid Impression Engine) — A digital grading and prototyping station that takes 3D body scans, alters patterns digitally, and cuts physical toiles automatically using an integrated plotter-cutter.
•	L9 — Apparel Cutting Wing
o	Automated Spreading Machines
	Heritage Series (Old Version): Manufactured by Techne  under the product name SpreadMaster 16.
	Innovator Series (New Version): Manufactured by Techne under the product name RoboSpread Apex.
o	High-Ply & Multi-Ply Auto-Cutters
	Heritage Series (Old Version): Manufactured by Techne  under the product name MultiCut 14.
	Innovator Series (New Version): Manufactured by Techne under the product name AI-Path Cutter.
o	Laser Cutters
	Heritage Series (Old Version): Manufactured by Techne  under the product name LaserCore 4.
	Innovator Series (New Version): Manufactured by Techne and Threadbourne under the product name VisionLaser Pro.
o	Fusing & Interlining Presses
	HeritageSeries (Old Version): Manufactured by Techne  under the product name FusePress 22.
	Innovator Series (New Version): Manufactured by Techne under the product name PrecisionFuse Modular.
o	Pinnacle Series (CNC Station): C.H.L.O.E. (Continuous High-Speed Laser Operations & Evaluation) — A single-table CNC cutting cell that automatically spreads, vision-scans for fabric flaws, laser-cuts multi-ply components, and applies fusing in one continuous cycle.
•	L10 — Apparel Sewing Wing A (Wovens)
o	Lockstitch & Flatlock Machines
	Heritage Series (Old Version): Manufactured by Techne  under the product name LockStitch 400.
	Innovator Series (New Version): Manufactured by Techne and Threadbourne under the product name AdaptiveArm Woven.
o	Button Attach & Buttonhole Automatics
	Heritage Series (Old Version): Manufactured by Techne  under the product name ButtonAuto 54.
	Innovator Series (New Version): Manufactured by Techne under the product name MultiFunction Closure.
o	Pressing Stations & Trolley Systems
	Heritage Series (Old Version): Manufactured by Techne  under the product name IronLine Trolley.
	Innovator Series (New Version): Manufactured by Techne under the product name AutoPress Transport.
o	Pinnacle Series (CNC Station): M.E.L.A.N.I.E. (Multi-Axis Electronic Lockstitch & Automated Needle Integration Environment) — A multi-axis robotic sewing cell that locks stitches, creates buttonholes, and attaches buttons automatically based on loaded digital garment specs.
•	L11 — Apparel Sewing Wing B (Knits & Sportswear)
o	Flatlock, Coverstitch, Overlock & Zigzag Machines
	Heritage Series (Old Version): Manufactured by Techne  under the product name KnitStitch 390.
	Innovator Series (New Version): Manufactured by Techne under the product name AdaptiveKnit Head.
o	Elastic Attach Automatics
	Heritage Series (Old Version): Manufactured by Techne  under the product name ElasticAuto 24.
	Innovator Series (New Version): Manufactured by Techne under the product name TensionFit Elastic.
o	Heat-Bonding Presses
	Heritage Series (Old Version): Manufactured by Techne  under the product name BondPress 20.
	Innovator Series (New Version): Manufactured by Techne under the product name MultiZone ThermalBond.
o	Reflective Tape Machines
	Heritage Series (Old Version): Manufactured by Techne  under the product name ReflectApp 16.
	Innovator Series (New Version): Manufactured by Techne under the product name AlignTape Automation.
o	Pinnacle Series (CNC Station): K.A.T.I.E. (Knit Assembly & Tension Integration Environment) — A stretch-fabric sewing pod equipped with adaptive tension stitch heads and automated elastic attachment modules tailored for activewear production.
•	L12 — Apparel Finishing & QC Wing
o	Steam Tunnels
	Heritage Series (Old Version): Manufactured by Techne  under the product name SteamBox 6.
	Innovator Series (New Version): Manufactured by Techne under the product name HumidityProfile Tunnel.
o	Pressing Tables
	Heritage Series (Old Version): Manufactured by Techne  under the product name PressTable 60.
	Innovator Series (New Version): Manufactured by Techne under the product name RoboPress Station.
o	Measurement Inspection Tables & Light Boxes
	Heritage Series (Old Version): Manufactured by Techne  under the product name InspectTable 70.
	Innovator Series (New Version): Manufactured by Techne and Threadbourne under the product name OptiScan AI Inspector.
o	Poly-Bagging Machines
	Heritage Series (Old Version): Manufactured by Techne  under the product name BagPack 16.
	Innovator Series (New Version): Manufactured by Techne under the product name AutoBag Prime.
o	Pinnacle Series (CNC Station): F.E.L.I.C.I.A. (Finishing, Examination, Laser Inspection & Cartoning Apparatus) — An automated finishing cell that runs garments through a steam tunnel, conducts optical laser measurements, mends minor defects, and poly-bags the final product.
•	L13 — Footwear Manufacturing Wing
o	Die-Cut Presses & Digital Upper Cutters
	Heritage Series (Old Version): Manufactured by Techne  under the product name FootPress 26.
	Innovator Series (New Version): Manufactured by Techne under the product name PrecisionDie Cutter.
o	Upper Stitching Machines
	Heritage Series (Old Version): Manufactured by Techne  under the product name UpperStitch 120.
	Innovator Series (New Version): Manufactured by Threadbourne under the product name RoboStitch Footwear.
o	Toe, Side & Heel Lasting Machines
	Heritage Series (Old Version): Manufactured by Techne  under the product name LastingMachine 56.
	Innovator Series (New Version): Manufactured by Techne under the product name RoboLast Apex.
o	Hydraulic Sole Presses & Vulcanizing Ovens
	Heritage Series (Old Version): Manufactured by Techne  under the product name SolePress 30.
	Innovator Series (New Version): Manufactured by Techne under the product name PressureMap SolePress.
o	Pinnacle Series (CNC Station): B.E.A.T.R.I.C.E. (Boot & Shoe Engineering, Assembly, Tooling, & Robotic Integration Cell) — A single footwear cell that cuts digital uppers, stitches components together via micro-arms, stretches over a last, and applies pressure-mapped sole bonding.
•	L14 — Accessories Manufacturing Wing
o	Hydraulic Leather Cutting Presses
	Heritage Series (Old Version): Manufactured by Techne  under the product name LeatherPress 20.
	Innovator Series (New Version): Manufactured by Techne under the product name SmartPressure HideCutter.
o	Skiving Machines
	Heritage Series (Old Version): Manufactured by Techne  under the product name SkiveEdge 16.
	Innovator Series (New Version): Manufactured by Techne under the product name AutoThick Skiver.
o	Walking-Foot Bag Assembly Machines
	Heritage Series (Old Version): Manufactured by Techne  under the product name BagAsm 60.
	Innovator Series (New Version): Manufactured by Techne and Threadbourne under the product name MicroRobot AccessoryCell.
o	Edge Paint Applicators & Burnishing Machines
	Heritage Series (Old Version): Manufactured by Techne  under the product name EdgePaint 28.
	Innovator Series (New Version): Manufactured by Techne under the product name PrecisionEdge Applicator.
o	Pinnacle Series (CNC Station): A.M.A.N.D.A. (Accessories Manufacturing & Automated Natural Design Apparatus) — A leather-working CNC cell that cuts hides, skives edges to precise thicknesses, applies edge paint, and stitches small leather goods or bags.
•	L15 — Beauty Manufacturing Wing
o	Emulsion Mixing Tanks
	Heritage Series (Old Version): Manufactured by Techne  under the product name EmulsionTank 12.
	Innovator Series (New Version): Manufactured by Techne under the product name FormulateMax Tank.
o	Bottle, Tube & Jar Filling Lines
	Heritage Series (Old Version): Manufactured by Techne  under the product name CosmoFill 9.
	Innovator Series (New Version): Manufactured by Techne and Threadbourne under the product name Cleanline MultiFill.
o	Powder Compaction Presses
	Heritage Series (Old Version): Manufactured by Techne  under the product name PowderPress 6.
	Innovator Series (New Version): Manufactured by Techne under the product name PressureProfile Compactor.
o	Cleanroom Zones
	Heritage Series (Old Version): Manufactured by Techne  under the product name CleanZone 6.
	Innovator Series (New Version): Manufactured by Techne under the product name EnviroAuto Cleanroom.
